AIRLINE,IATA_CODE,COUNTRY,ACTIVE
Kaiser Air,,United States,N
Kalitta Air,K4,United States,N
Kalitta Charters,,United States,N
Kallat El Saker Air Company,,Libya,N
Kam Air,RQ,Afghanistan,Y
Kampuchea Airlines,E2,Cambodia,N
Kanaf-Arkia Airlines,,Israel,N
Kanfey Ha'emek Aviation,,Israel,N
Kansas State University,,United States,N
Karat,V2,Russia,N
Karibu Airways Company,,Tanzania,N
Karlog Air Charter,,Denmark,N
Karthago Airlines,,Tunisia,N
Kartika Airlines,,Indonesia,N
Kata Transportation,,Sudan,N
Katekavia,,Russia,N
Kato Airline,,Norway,N
Kavminvodyavia,KV,Russia,Y
Kavouras Inc,,United States,N
Kaz Agros Avia,,Kazakhstan,N
Kaz Air West,,Kazakhstan,N
Kazan Aviation Production Association,,Russia,N
Kazan Helicopters,,Russia,N
Kazavia,,Kazakhstan,N
Kazaviaspas,,Kazakhstan,N
Keenair Charter -,,United Kingdom,N
Kelix Air,,Nigeria,N
Kelner Airways,,Canada,N
Kelowna Flightcraft Air Charter,,Canada,N
Kendell Airlines,,Australia,Y
Kenmore Air,M5,United States,Y
Kenn Borek Air,,Canada,N
Kent Aviation,,Canada,N
Kenya Airways,KQ,Kenya,Y
Kevis,,Kazakhstan,N
Key Airlines,,United States,N
Key Lime Air,,United States,N
Keystone Aerial Surveys,,United States,N
Keystone Air Services,BZ,Canada,N
Khalifa Airways,,Algeria,N
Kharkov Aircraft Manufacturing Company,,Ukraine,N
Khazar,,Turkmenistan,N
Khoezestan Photros Air Lines,,Iran,N
Khoriv-Avia,,Ukraine,N
Khors Aircompany,,Ukraine,N
Khyber Afghan Airlines,,Afghanistan,N
Kiev Aviation Plant,,Ukraine,N
King Aviation,,United Kingdom,N
Kingfisher Air Services,,United States,N
Kingfisher Airlines,IT,India,Y
Knighthawk Air Express,,Canada,N
Kingston Air Services,,Canada,N
Kinnarps,,Sweden,N
Kinshasa Airways,,Democratic Republic of the Congo,N
Kirov Air Enterprise,,Russia,N
Kish Air,Y9,Iran,Y
Kitty Hawk Aircargo,,United States,N
Kitty Hawk Airways,,United States,N
Kiwi International Air Lines,KP,United States,N
Knight Air,,Canada,N
Knighthawk Express,,United States,N
Knights Airlines,,Nigeria,N
Koanda Avacion,,Spain,N
Koda International,,Nigeria,N
Kogalymavia Air Company,7K,Russia,Y
Kom Activity,,Netherlands,N
Komiaviatrans State Air Enterprise,,Russia,N
Komiinteravia,8J,Russia,N
Komsomolsk-on-Amur Air Enterprise,,Russia,N
Koob-Corp - 96 KFT,,Hungary,N
Korean Air,KE,Republic of Korea,Y
Kosmas Air,,Serbia,N
Kosmos,,Russia,Y
Kosova Airlines,,Serbia,N
Kovar Air,,Czech Republic,N
Krasnojarsky Airlines,7B,Russia,Y
Kremenchuk Flight College,,Ukraine,N
Krimaviamontag,,Ukraine,N
Kroonk Air Agency,,Ukraine,N
Krylo Airlines,K9,Russia,N
Krym,,Ukraine,N
Krystel Air Charter,,United Kingdom,N
Kuban Airlines,GW,Russia,Y
Kunpeng Airlines,VD,China,N
Kurzemes Avio,,Russia,N
Kustbevakningen,,Sweden,N
Kuwait Airways,KU,Kuwait,Y
Kuzu Airlines Cargo,GO,Turkey,Y
Kvadro Aero,,Kyrgyzstan,N
Kwena Air,,South Africa,N
Kyrgyz Airlines,N5,Kyrgyzstan,N
Kyrgyz Trans Avia,,Kyrgyzstan,N
Kyrgyzstan,QH,Kyrgyzstan,N
Kyrgyzstan Airlines,R8,Kyrgyzstan,N
Kyrgyzstan Department of Aviation,,Kyrgyzstan,N
Kyrgz General Aviation,,Kyrgyzstan,N
Kibris T,KY,Turkey,N
L A Helicopter,,United States,N
L J Aviation,,United States,N
L R Airlines,,Czech Republic,N
L&L Flygbildteknik,,Sweden,N
L'Express,,United States,N
L-3 Communications Flight Internation Aviation,,United States,N
L.A.B. Flying Service,JF,United States,N
LACSA,LR,Costa Rica,Y
LADE - Lineas Aereas Del Estado,,Argentina,N
LAI - Linea Aerea IAACA,KG,Venezuela,N
LAN Airlines,LA,Chile,Y
LAN Argentina,4M,Argentina,Y
LAN Cargo,,Chile,N
LAN Dominica,,Dominican Republic,N
LAN Express,LU,Chile,Y
LAN Peru,LP,Peru,Y
LANSA,,Dominican Republic,N
LAP Colombia - Lineas Aereas Petroleras,,LAP,N
LASTP,,S,N
LC Busre,,Peru,N
LOT Polish Airlines,LO,Poland,Y
LTE International Airways,XO,Spain,Y
LTU Austria,L3,Austria,Y
LTU International,LT,Germany,N
LTV Jet Fleet Corporation,,United States,N
LUKoil-Avia,,Russia,N
La Ronge Aviation Services,,Canada,N
La Valenciana Taxi Aereo,,Mexico,N
Labcorp,,United States,N
Labrador Airways,,Canada,N
Lagun Air,N6,Spain,N
Lake Havasu Air Service,,United States,N
Lakeland Aviation,,United States,N
Laker Airways,,United States,N
Laker Airways (Bahamas),,United States,N
Lamra,,Sudan,N
Lanaes Aereas Trans Costa Rica,,Costa Rica,N
Landsflug,,Iceland,N
Langtry Flying Group,,United Kingdom,N
Lankair,IK,Sri Lanka,N
Lanza Air,,Spain,N
Lanzarote Aerocargo,,Spain,N
Lao Air Company,,Lao Peoples Democratic Republic,N
Lao Airlines,QV,Lao Peoples Democratic Republic,Y
Lao Capricorn Air,,Lao Peoples Democratic Republic,N
Laoag International Airlines,L7,Philippines,N
Laredo Air,,United States,N
LatCharter,,Latvia,Y
Latvian Air Force,,Latvia,N
Lauda Air,NG,Austria,Y
Lauda Air Italy,,Italy,N
Laughlin Express,,United States,N
Laus,,Croatia,N
Lawrence Aviation,,United States,N
Layang-Layang Aerospace,,Malaysia,N
Lease-a-Plane International,,United States,N
Lebanese Air Transport,LQ,Lebanon,N
Lebanese Air Transport (Charter),,Lebanon,N
Lebanon Airport Development Corporation,,United States,N
Leconte Airlines,,United States,N
Leeward Islands Air Transport,LI,Antigua and Barbuda,Y
Legend Airlines,,United States,N
Leisure Air,,United States,N
Lentini Aviation,,United States,N
Leo-Air,,South Africa,N
Leonsa De Aviacion,,Spain,N
Libyan Airlines,,Libya,N
Libyan Arab Airlines,LN,Libya,Y
Libyan Arab Air Cargo,,Libya,N
Lid Air,,Sweden,N
Lignes Aeriennes Congolaises,,Democratic Republic of the Congo,N
Lignes Aeriennes Du Tchad,,Chad,N
Lignes Mauritaniennes Air Express,,Mauritania,N
Lignes Nationales Aeriennes - Linacongo,,Republic of the Congo,N
Lincoln Air National Guard,,United States,N
Lincoln Airlines,,Australia,N
Lindsay Aviation,,United States,N
Linea Aerea Costa Norte,,Chile,N
Linea Aerea Mexicana de Carga,,Mexico,N
Linea Aerea SAPSA,L7,Chile,N
Linea Aerea de Fumig Aguas Negras,,Chile,N
Linea Aerea de Servicio Ejecutivo Regional,8z,Venezuela,N
Linea De Aeroservicios,,Chile,N
Linea Turistica Aerotuy,LD,Venezuela,N
Lineas Aereas Alaire S.L.,,Spain,N
Lineas Aereas Azteca,ZE,Mexico,N
Lineas Aereas Canedo LAC,,Bolivia,N
Lineas Aereas Comerciales,,Mexico,N
Lineas Aereas Ejectuivas De Durango,,Mexico,N
Lineas Aereas Eldorado,,Colombia,N
Lineas Aereas Federales,,Argentina,N
Lineas Aereas Monarca,,Mexico,N
Lineas Aereas San Jose,,Mexico,N
Lineas Aereas del Humaya,,Mexico,N
Linex,,Central African Republic,N
Linhas Aereas Santomenses,,S,N
Linhas A,LM,Mozambique,Y
Link Airways of Australia,,Australia,N
Lion Air Services,,United Kingdom,N
Lion Mentari Airlines,JT,Indonesia,Y
Lions-Air,,Switzerland,N
Lithuanian Air Force,,Lithuania,N
Little Red Air Service,,Canada,N
Livingston,LM,Italy,N
Lloyd Aereo Boliviano,LB,Bolivia,N
Lnair Air Services,,Spain,N
Lockheed Air Terminal,,United States,N
Lockeed Aircraft Corporation,,United States,N
Lockheed DUATS,,United States,N
Lockheed Martin Aeronautics,,United States,N
Lockheed Martin Aeronautics Company,,United States,N
Logan Air,,United Kingdom,N
Lom Praha Flying School,,Czech Republic,N
Lomas Helicopters,,United Kingdom,N
London City Airport Jet Centre,,United Kingdom,N
London Executive Aviation,,United Kingdom,N
London Flight Centre (Stansted),,United Kingdom,N
London Helicopter Centres,,United Kingdom,N
Lone Star Airlines,,United States,N
Long Island Airlines,,United States,N
Longtail Aviation,,Bermuda,N
Lorraine Aviation,,France,N
Los Cedros Aviacion,,Chile,N
Lotus Air,,Egypt,N
Luchtvaartmaatschappij Twente,,Netherlands,N
Lucky Air,,China,N
Luft Carago,,South Africa,N
Luftfahrt-Vermietungs-Dienst,,Austria,N
Luftfahrtgesellschaft Walter,HE,Germany,Y
Lufthansa,LH,Germany,Y
Lufthansa Cargo,LH,Germany,Y
Lufthansa CityLine,CL,Germany,Y
Lufthansa Systems,L1,Germany,N
Lufthansa Technik,,Germany,N
Lufttaxi Fluggesellschaft,DV,Germany,N
Lufttransport,L5,Norway,Y
Luhansk,,Ukraine,N
Lund University School of Aviation,,Sweden,N
Luxair,LG,Luxembourg,Y
Luxaviation,,Luxembourg,N
Luxembourg Air Rescue,,Luxembourg,N
Luxflight Executive,,Luxembourg,N
Luxor Air,,Egypt,N
Luzair,,Portugal,N
Lviv Airlines,5V,Ukraine,N
Lydd Air,,United Kingdom,N
Lynch Flying Service,,United States,N
Lynden Air Cargo,L2,United States,N
Lynx Air International,,United States,N
Lynx Aviation,,Pakistan,N
L,MJ,Argentina,Y
L,,Colombia,N
M & N Aviation,,United States,N
MAC Fotografica,,Spain,N
MANAG'AIR,,France,N
MAP-Management and Planung,,Austria,N
MAS Airways,,United Kingdom,N
MasAir,M7,Mexico,Y
MAT Macedonian Airlines,IN,Macedonia,Y
MCC Aviation,,South Africa,N
MG Aviacion,,Spain,N
MIA Airlines,,Romania,N
MIAT Mongolian Airlines,OM,Mongolia,Y
MIT Airlines,,Canada,N
MK Airline,,Ghana,N
MNG Airlines,MB,Turkey,Y
MSR Flug-Charter,,Germany,N
MTC Aviacion,,Mexico,N
Mac Aviation,,Spain,N
Mac Dan Aviation Corporation,,United States,N
MacKnight Airlines,,Australia,N
Macair Airlines,CC,Australia,Y
Macedonian Airlines,,Greece,N
Madina Air,,Libya,N
Maersk,DM,Denmark,Y
Magic Blue Airlines,,Netherlands,N
Magna Air,,Austria,N
Mahalo Air,,United States,N
Mahan Air,W5,Iran,Y
Mahfooz Aviation,M2,Gambia,N
Maine Aviation,,United States,N
Majestic Airlines,,United States,N
Mak Air,,Kazakhstan,N
Malagasy Airlines,,Madagascar,N
Malawi Express,,Malawi,N
Malaya Aviatsia Dona,,Russia,N
Malaysia Airlines,MH,Malaysia,Y
Mali Air,,Austria,N
Mali Air Express,,Mali,N
Mali Airways,,Mali,N
Malila Airlift,,Democratic Republic of the Congo,N
Mall Airways,,United States,N
Malmo Aviation,,Sweden,Y
Malmoe Air Taxi,,Sweden,N
Malmö Aviation,TF,Sweden,Y
Malta Air Charter,R5,Malta,Y
Malta Wings,,Malta,N
Malév,MA,Hungary,Y
Manaf International Airways,,Burundi,N
Mandala Airlines,RI,Indonesia,Y
Mandarin Airlines,AE,Taiwan,Y
Mango,JE,South Africa,Y
Manhattan Air,,United Kingdom,N
Manitoulin Air Services,,Canada,N
Mann Air,,United Kingdom,N
Mannion Air Charter,,United States,N
Mantrust Asahi Airways,,Indonesia,N
Manx Airlines,,United Kingdom,N
Maple Air Services,,Canada,N
March Helicopters,,United Kingdom,N
Marcopolo Airways,,Afghanistan,N
Marghi Air,,Nigeria,N
Markair,,United States,N
Markoss Aviation,,United Kingdom,N
Mars RK,6V,Ukraine,N
Marshall Aerospace,,United Kingdom,N
Marsland Aviation,M7,Sudan,N
Martin Aviation Services,,United States,N
Martin-Baker,,United Kingdom,N
Martinair,MP,Netherlands,Y
Martinaire,,United States,N
Martyn Fiddler Associates,,United Kingdom,N
Marvin Limited,,United Kingdom,N
Maryland State Police,,United States,N
Massachusetts Institute of Technology,,United States,N
Massey University School of Aviation,,New Zealand,N
Master Airways,,Serbia,N
Master Planner,,United States,N
Masterjet,,Portugal,N
Mastertop Linhas Aereas,Q4,Brazil,N
Mauria,,Mauritania,N
Mauritanienne Aerienne Et Navale,,Mauritania,N
Mauritanienne Air Fret,,Mauritania,N
Mauritanienne Airways,,Mauritania,N
Mauritanienne De Transport Aerien,,Mauritania,N
Maverick Airways,,United States,N
Mavial Magadan Airlines,H5,Russia,N
Max Avia,,Kyrgyzstan,N
Max Sea Food,,El Salvador,N
Max-Aviation,,Canada,N
Maxair,8M,Sweden,Y
Maximus Air Cargo,,United Arab Emirates,N
Maxjet Airways,MY,United States,N
Maxsus-Avia,,Uzbekistan,N
May Air Xpress,,United States,N
Maya Island Air,MW,Belize,Y
Mayair,,Mexico,N
Mbach Air,,Malawi,N
McAlpine Helicopters,,United Kingdom,N
McCall Aviation,,United States,N
McDonnell Douglas,,United States,N
McNeely Charter Services,,United States,N
Med-Trans of Florida,,United States,N
Medavia Company,,Malta,N
Medical Air Rescue Services,,Zimbabwe,N
Medical Aviation Services,,United Kingdom,N
Mediterranean Air Freight,,Greece,N
Mediterranean Airways,,Egypt,N
Medjet International,,United States,N
Mega,,Kazakhstan,N
Mega Linhas Aereas,,Brazil,N
Mekong Airlines,,Cambodia,N
Menajet,IM,Lebanon,N
Merchant Express Aviation,,Nigeria,N
Mercury Aircourier Service,,United States,N
Meridian,,Ukraine,N
Meridian Air Cargo,,United States,N
Meridian Airlines,,Nigeria,N
Meridian Aviation,,United Kingdom,N
Meridian Limited,,Ukraine,N
Meridiana,IG,Italy,Y
Merlin Airways,,United States,N
Merpati Nusantara Airlines,MZ,Indonesia,Y
Mesa Airlines,YV,United States,Y
Mesaba Airlines,XJ,United States,Y
Meta Linhas A,,Brazil,N
Meteorological Research Flight,,United Kingdom,N
Methow Aviation,,United States,N
Metro Business Aviation,,United Kingdom,N
Metro Express,,United States,N
Metroflight,,United States,N
Metrojet,,Hong Kong SAR of China,N
Metropix UK,,United Kingdom,N
Metroplis,,Netherlands,N
Mex Blue,,Mexico,N
Mex-Jet,,Mexico,N
Mexicana de Aviaci,MX,Mexico,Y
Mexico Transportes Aereos,,Mexico,N
Miami Air Charter,,United States,N
Miami Air International,GL,United States,N
Miami Valley Aviation,,United States,N
Miapet-Avia,,Armenia,N
Michelin Air Services,,France,N
Micromatter Technology Solutions,,United Kingdom,N
Mid Airlines,,Sudan,N
Mid-Pacific Airlines,,United States,N
Midamerica Jet,,United States,N
Middle East Airlines,ME,Lebanon,Y
Midland Airport Services,,United Kingdom,N
Midline Air Freight,,United States,N
Midstate Airlines,,United States,N
Midway Airlines,JI,United States,Y
Midway Express,,United States,N
Midwest Air Freighters,,United States,N
Midwest Airlines,YX,United States,Y
Midwest Airlines (Egypt),MY,Egypt,Y
Midwest Aviation,,United States,N
Midwest Aviation Division,,United States,N
Midwest Helicopters De Mexico,,Mexico,N
Millardair,,Canada,N
Millen Corporation,,United Kingdom,N
Millennium Air,,Nigeria,N
Miller Flying Services,,United States,N
Million Air,,United States,N
Mimino,,Russia,N
Mina Airline Company,,Egypt,N
Minair,,Central African Republic,N
Minebea Technologies,,United States,N
Mines Air Services Zambia,,Zambia,N
Miniliner,,Italy,N
Ministic Air,,Canada,N
Ministry of Agriculture,,WATCHDOG,N
Minsk Aircraft Overhaul Plant,,Belarus,N
Miramichi Air Service,,Canada,N
Miras,,Kazakhstan,N
Misr Overseas Airways,,Egypt,N
Mission Aviation Fellowship,,Indonesia,N
Missionair,,Spain,N
Missions Gouvernemtales Francaises,,France,N
Mississippi State University,,United States,N
Mississippi Valley Airways,,United States,N
Mistral Air,,Italy,N
Mobil Oil,,Canada,N
Mocambique Expresso,,Mozambique,N
Mofaz Air,,Malaysia,N
Moldaeroservice,,Moldova,N
Moldavian Airlines,2M,Moldova,Y
Moldova,,Moldova,N
Mombasa Air Safari,,Kenya,N
Monarch Airlines,ZB,United Kingdom,Y
Monarch Airlines,,United States,N
Myway Airlines,8I,Italy,Y
Moncton Flying Club,,Canada,N
Monde Air Charters,,United Kingdom,N
Monerrey Air Taxi,,Mexico,N
Monky Aerotaxis,,Mexico,N
Montenegro Airlines,YM,Montenegro,Y
Montserrat Airways,,Montserrat,N
Mooney Aircraft Corporation,,United States,N
Morningstar Air Express,,Canada,Y
Morris Air Service,,United States,N
Morrison Flying Service,,United States,N
Moskovia Airlines,3R,Russia,Y
Mosphil Aero,,Philippines,N
Motor Sich,M9,Ukraine,Y
Mount Cook Airlines,NM,New Zealand,N
Mountain Air Cargo,,United States,N
Mountain Air Company,N4,Sierra Leone,N
Mountain Air Express,,United States,N
Mountain Air Service,,United States,N
Mountain Bird,,United States,N
Mountain High Aviation,,United States,N
Mountain Pacific Air,,Canada,N
Mountain Valley Air Service,,United States,N
Mowhawk Airlines,,United States,N
Mudan Airlines,,Somali Republic,N
Mudanjiang General Aviation,,China,N
Multi Taxi,,Mexico,N
Multi-Aero,,United States,N
Multiflight,,,N
Murmansk Aircompany,,Russia,N
Murray Air,,United States,N
Musrata Air Transport,,Libya,N
Mustique Airways,,Barbados,N
My Way Airlines,,Italy,N
MyTravel Airways,VZ,United Kingdom,Y
Myanma Airways,UB,Myanmar,Y
Myanmar Airways International,8M,Myanmar,Y
Myflug,,Iceland,Y
Mytravel Airways,,Denmark,N
NEL Cargo,,Ivory Coast,N
NHT Lineas Aereas,,Brazil,N
NZ Warbirds Association,,New Zealand,N
Nacoia Lda,,Angola,N
Nada Air Service,,Chad,N
Compangnie Nationale Naganagani,,Burkina Faso,N
Nahanni Air Services Ltd,,Canada,N
Nakheel Aviation,,United Arab Emirates,N
Namibia Commerical Aviation,,Namibia,N
Namibian Defence Force,,Namibia,N
Nanjing Airlines,,China,N
Nantucket Airlines,DV,United States,N
Nanyah Aviation,,Israel,N
Napier Air Service Inc,,United States,N
Nas Air,,Angola,N
Nas Air,P9,Mali,N
Nasair,UE,Eritrea,Y
Nashville Jet Charters,,United States,N
Natalco Air Lines,,S,N
Natioanl Air Traffic Controllers Association,,United States,N
National Air Charter,,Indonesia,N
National Air Traffic Services,,United Kingdom,N
National Airlines,,United States,N
National Airlines,N4,Chile,N
National Airlines,N7,United States,N
National Airlines,NA,United States,N
National Airlines,,South Africa,N
National Airways Cameroon,9O,Cameroon,N
National Airways Corporation,,South Africa,N
National Aviation Company,,Egypt,N
National Aviation Consultants,,Canada,N
National Express,,United States,N
National Grid,,United Kingdom,N
National Jet Express,,Australia,N
National Jet Service,,United States,N
National Jet Systems,NC,Australia,Y
National Oceanic and Atmospheric Administration,,United States,N
National Overseas Airlines Company,,Egypt,N
Nationale Luchtvaartschool,,Netherlands,N
Nations Air Express Inc,,United States,N
Nationwide Airlines,CE,South Africa,Y
Nationwide Airlines (Zambia),,Zambia,N
Natural Environment Research Council,,United Kingdom,N
Natureair,,Costa Rica,N
Naturelink Charter,,South Africa,N
Nauru Air Corporation,ON,Nauru,Y
NAV CANADA,,Canada,N
Nav Flight Planning,,Czech Republic,N
Navegacao Aerea De Portugal,,Portugal,N
Navegacion Servicios Aereos Canarios SA,,Spain,N
Navid,,Iran,N
Naviera Mexicana,,Mexico,N
Navigator Airlines,,Armenia,N
Navinc Airlines Services,,United States,N
Navitaire,1N,United States,N
Navtech System Support,,Canada,N
Nayzak Air Transport,,Libya,N
State of Nebraska,,United States,N
Necon Air,,Nepal,N
Nederlandse Kustwacht,,Netherlands,N
Nefteyugansk Aviation Division,,Russia,N
Neiltown Air,,Canada,N
Nelair Charters,,South Africa,N
Nelson Aviation College,,New Zealand,N
Nepal Airlines,RA,Nepal,Y
Neos,NO,Italy,N
Neosiam Airways,,Thailand,N
Neric,,United Kingdom,N
NetJets,1I,United States,Y
Network Aviation Services,,Nigeria,N
New England Air Express,,United States,N
New England Airlines,EJ,United States,Y
New Heights 291,,South Africa,N
New World Jet Corporation,,United States,N
New York Helicopter,,United States,N
New York State Police,,United States,N
New Zealand Air Defence Force,,New Zealand,N
Newair,,United States,N
Newfoundland Labrador Air Transport,,Canada,N
NextJet,2N,Sweden,Y
Nextflight Aviation,,United States,N
Nexus Aviation,,Nigeria,N
Nicaraguense De Aviacion,,Nicaragua,N
Nicon Airways,,Nigeria,N
Nigeria Airways,,Nigeria,N
Nigerian Air Force,,Nigeria,N
Nigerian Global,,Nigeria,N
Night Express,,Germany,N
Niki,HG,Austria,Y
Nikolaev-Air,,Ukraine,N
Nile Safaris Aviation,,Sudan,N
Nile Valley Aviation Company,,Egypt,N
Nile Wings Aviation Services,,Sudan,N
Nimbus Aviation,,United Kingdom,N
Nippon Cargo Airlines,KZ,Japan,N
Nizhnevartovskavia,,Russia,N
Search and Rescue 202,,United Kingdom,N
Search and Rescue 22,,United Kingdom,N
No. 32 (The Royal) Squadron RAF,,United Kingdom,N
84 Squadron Royal Air Force @ RAF Akrotiri,,United Kingdom,N
Nobil Air,,Moldova,N
Nok Air,DD,Thailand,Y
Nolinor Aviation,,Canada,N
Nomad Aviation,,Namibia,N
Norcopter,,Norway,N
Nord-Flyg,,Sweden,N
Nordeste Linhas Aereas Regionais,JH,Brazil,N
Nordic Regional,6N,Sweden,N
Nordic Solutions,,Lithuania,N
Nordstree (Australia),,Australia,N
Norestair,,Spain,N
Norfolk County Flight College,,United Kingdom,Y
Norontair,,Canada,N
Norrlandsflyg,,Sweden,N
Norse Air Charter,,South Africa,N
Norsk Flyrjeneste,,Norway,N
Norsk Helikopter,,Norway,N
Norsk Luftambulanse,,Norway,N
Nortavia,,Portugal,N
North Adria Aviation,,Croatia,N
North American Airlines,,Canada,Y
North American Charters,,Canada,Y
North American Jet Charter Group,,United States,N
North Atlantic Air Inc,,United States,N
North Atlantic Cargo,,Norway,N
North British Airlines,,United Kingdom,N
North Caribou Flying Service Ltd,,Canada,N
North Coast Air Services Ltd,,Canada,N
North Coast Aviation,N9,Papua New Guinea,N
North Flying,M3,Denmark,N
North Sea Airways,,Netherlands,N
North Star Air Cargo,,United States,N
North Vancouver Airlines,,Canada,N
North West Airlines,,Australia,N
North West Geomatics,,Canada,N
North-East Airlines,,Nigeria,N
North-West Air Transport Company - Vyborg,,Russia,N
North-Wright Airways,HW,Canada,N
Northafrican Air Transport,,Libya,N
Northaire Feight Lines,,United States,N
Northamptonshire School of Flying,,United Kingdom,N
Northcoast Executive Airlines,,United States,N
Northeast Airlines,,United States,N
Northeast Aviation,,United States,N
Northern Air Cargo,NC,United States,N
Northern Airlines Sanya,,China,N
Northern Airways,,United States,N
Northern Aviation Service,,Thailand,N
Northern Dene Airways,U7,Canada,Y
Northern Executive Aviation,,United Kingdom,N
Northern Illinois Commuter,,United States,N
Northern Jet Management,,United States,N
Northern Thunderbird Air,,Canada,N
Northland Aviation,,United States,N
Northstar Aviation,,United States,N
Northumbria Helicopters,,United Kingdom,N
Northway Aviation Ltd,,Canada,N
Northwest Aero Associates,,United States,N
Northwest Airlines,NW,United States,Y
Northwest Regional Airlines,FY,Australia,N
Northwest Territorial Airways,,Canada,N
Northwestern Air,J3,Canada,Y
Northwinds Northern,,Canada,N
Nortland Air Manitoba,,Canada,N
Norwegian Air Shuttle,DY,Norway,Y
Norwegian Aviation College,,Norway,Y
Notams International,,United States,N
Nouvel Air Tunisie,BJ,Tunisia,Y
Nova Airline,M4,Sudan,N
Nova Scotia Department of Lands and Forests,,Canada,N
Novair,1I,Sweden,Y
Novogorod Air Enterprise,,Russia,N
Novosibirsk Aircraft Repairing Plant,,Russia,N
Novosibirsk Aviaenterprise,,Russia,N
Novosibirsk Aviation Production Association,,Russia,N
Noy Aviation,,Israel,N
Nuevo Continente,N6,Peru,N
Nuevo Horizonte Internacional,,Mexico,N
Nunasi-Central Airlines,,Canada,N
Nurman Avia Indopura,,Indonesia,N
Nyasa Express,,Malawi,N
Nas Air,XY,Saudi Arabia,Y
O Air,,France,N
O'Connor Airlines,UQ,Australia,N
OAG,CR,United Kingdom,N
OSACOM,,United States,N
Oasis Hong Kong Airlines,O8,Hong Kong,Y
Ocean Air,,Mauritania,Y
Ocean Airlines,VC,Italy,N
Ocean Sky (UK),,United Kingdom,N
Ocean Wings Commuter Service,,United States,N
Oceanair,O6,Brazil,Y
Oceanic Airlines,O2,Guinea,Y
Odessa Airlines,,Ukraine,N
Odyssey International,,Canada,N
Office Federal De'Aviation Civile,,Switzerland,N
Ogooue Air Cargo,,Gabon,N
Okada Airlines,,Nigeria,N
Okapi Airways,,Democratic Republic of Congo,N
Okay Airways,,China,N
Oklahoma Department of Public Safety,,United States,N
Olimex Aerotaxi,,Czech Republic,N
Olimp Air,,Kazakhstan,N
Olympic Airlines,OA,Greece,Y
Olympic Aviation,,Greece,N
Oman Air,WY,Oman,Y
Oman Royal Flight,,Oman,N
Omni - Aviacao e Tecnologia,,Portugal,N
Omni Air International,OY,United States,Y
Omniflys,,Mexico,N
Omskavia Airline,N3,Russia,N
On Air Limited,,Canada,N
One Two Go Airlines,,Thailand,Y
Onetime Airlines Zambia,,Zambia,N
Ontario Ministry of Health,,Canada,N
Onur Air,8Q,Turkey,Y
Opal Air,,Australia,N
Open Sky Aviation,,Lebanon,N
OpenSkies,,United Kingdom,N
Operadora Turistica Aurora,,Mexico,N
Operadora de Lineas Ejecutivas,,Mexico,N
Operadora de Transportes Aereos,,Mexico,N
Operadora de Veulos Ejectutivos,,Mexico,N
Operation Enduring Freedom,,Canada,N
Operational Aviation Services,,Australia,N
Orange Air Services,,Sierra Leone,N
Orange Air Sierra Leone,,Sierra Leone,N
Orange Aviation,,Israel,N
Orbit Express Airlines,,Turkey,N
Orca Air,,Egypt,N
Orebro Aviation,,Sweden,N
Orel State Air Enterprise,,Russia,N
Orenburg Airlines,R2,Russia,Y
Organizacion De Transportes Aereos,,Mexico,N
Organizacoes Mambra,,Angola,N
Orient Air,,Syrian Arab Republic,N
Orient Airlines,,Sudan,N
Orient Airways,,Pakistan,N
Orient Thai Airlines,OX,Thailand,Y
Oriental Air Bridge,,Japan,N
Oriental Airlines,,Nigeria,N
Origin Pacific Airways,QO,New Zealand,Y
Orion Air Charter,,South Africa,N
Orion-x,,Russia,N
Orlan-2000,,Kazakhstan,N
Ornage Aircraft Leasing,,Netherlands,N
Orscom Tourist Installations Company,,Egypt,N
Osh Avia,,Kyrgyzstan,N
Ostend Air College,,Belgium,N
Ostfriesische Lufttransport,OL,Germany,Y
Oulun Tilauslento,,Finland,N
Our Airline,ON,Nauru,N
Out Of The Blue Air Safaris,,South Africa,N
Overland Airways,OJ,Nigeria,Y
Oxaero,,United Kingdom,N
Oxford Air Services,,United Kingdom,N
Oxley Aviation,,Australia,N
Ozark Air Lines,OZ,United States,N
Ozjet Airlines,O7,Australia,Y
P & P Floss Pick Manufacturers,,South Africa,N
PAC Air,,United States,N
PAN Air,PV,Spain,Y
PB Air,9Q,Thailand,Y
PDQ Air Charter,,United States,N
PHH Aviation System,,United States,N
PLM Dollar Group,,United Kingdom,N
PLUNA,PU,Uruguay,Y
PMTair,U4,Cambodia,Y
PRT Aviation,,Spain,N
PSA Airlines,,United States,N
PTL Luftfahrtunternehemen,,Germany,N
Paccair,,United States,N
Pace Airlines,Y5,United States,N
Pacific Air Boats,,Canada,N
Pacific Air Charter,,United States,N
Pacific Air Express,,United States,N
Pacific Air Transport,,United States,N
Jetstar Pacific,BL,Vietnam,Y
Pacific Alaska Airlines,,United States,N
Pacific Aviation (Australia),,Australia,N
Pacific Aviation (United States),,United States,N
Pacific Blue,DJ,New Zealand,N
Pacific Coast Airlines,,United States,N
Pacific Coastal Airline,8P,Canada,Y
Pacific East Asia Cargo Airlines,Q8,Philippines,Y
Pacific Flight Services,,Singapore,N
Pacific International Airlines,,United States,N
Pacific Island Aviation,,United States,Y
Pacific Jet,,United States,N
Pacific Pearl Airways,,Philippines,N
